,S,K,V,_T,mid_iv,bids,asks,last_price,mid
268,36895.86,100000,0.1,14.526587675589102,88.965,0.0,0.017171391752577314,0.0005,0.008585695876288657
400,38890.92,100000,0.6,287.5682543422558,97.625,0.06079383886255924,0.09821192052980134,0.095,0.07950287969618029
336,37055.68,100000,2.0,49.526587675589106,117.765,0.0008048327137546469,0.009360915492957745,0.0025,0.005082874103356196
197,37591.02,100000,47.3,105.5265876755891,102.235,0.005908018867924528,0.2607192702394527,0.013999999999999999,0.1333136445536886
385,38301.58,100000,55.1,203.56825434225576,99.87,0.029876179245283033,0.19340347666971636,0.053,0.11163982795749969
164,37585.05,120000,83.4,105.5265876755891,107.125,0.005262589928057554,0.09767611683848797,0.0085,0.05146935338327276
179,38315.69,120000,56.5,203.56825434225576,101.14500000000001,0.02560831889081456,0.14622812500000001,0.04,0.08591822194540728
306,38305.96,140000,4.7,203.56825434225576,104.24000000000001,0.01912764227642276,0.31484552845528446,0.0285,0.16698658536585362
157,36886.42,140000,10.0,14.526587675589102,114.035,0.0,0.009047101449275358,0.0005,0.004523550724637679
362,37598.11,140000,208.8,105.5265876755891,111.035,0.003024809160305344,0.11862820512820513,0.0065,0.060826507144255235
201,37055.54,15000,0.1,49.526587675589106,149.765,0.564,0.6705,0.6005,0.61725
66,36873.5,16000,0.8,14.526587675589102,107.085,0.5510071090047393,0.5919999999999999,0.545,0.5715035545023696
208,37596.53,160000,102.8,105.5265876755891,116.365,0.0024713375796178343,0.04563554987212273,0.0055,0.024053443725870285
88,38299.02,160000,20.8,203.56825434225576,106.51,0.014697129909365569,0.14266500553709854,0.0245,0.07868106772323205
275,36895.54,20000,1.8,14.526587675589102,141.20999999999998,0.018260472713297466,0.47769148936170214,0.45,0.2479759810374998
319,37054.16,20000,2.5,49.526587675589106,106.92,0.4291764705882353,0.5303571428571429,0.4745,0.4797668067226891
78,38299.73,200000,474.8,203.56825434225576,111.26,0.0074888888888888895,0.09793983402489626,0.019,0.052714361456892574
283,37595.01,200000,70.4,105.5265876755891,122.69,0.0006453287197231833,0.018799886621315192,0.0025,0.009722607670519188
299,36896.94,22000,0.5,14.526587675589102,130.99,0.39009374999999996,0.47878260869565203,0.377,0.434438179347826
153,38907.89,25000,2.1,287.5682543422558,97.425,0.451,0.5215,0.5,0.48624999999999996
363,38903.14,250000,13.1,287.5682543422558,109.08,0.0176078431372549,0.04756611570247934,0.022000000000000002,0.032586979419867115
246,36897.5,28000,0.3,14.526587675589102,109.91,0.14937553191489364,0.30959490740740736,0.255,0.22948521966115049
312,36850.71,30000,0.2,7.526587675589102,213.495,0.07191379310344828,0.294,0.1375,0.18295689655172415
