,underlying_price,underlying_index,timestamp,stats,state,settlement_price,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,instrument_name,index_price,greeks,estimated_delivery_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv,option_type
0,35396.39,BTC-24SEP21,1623243720356,"{'volume': 8.2, 'price_change': -30.2439, 'low': 0.286, 'high': 0.41}",open,0.3,562.7,0.213,0.389,0.2873663,95.07,0.286,0.0,BTC-24SEP21-40000-P,34834.99,"{'vega': 76.36727, 'theta': -33.99228, 'rho': -80.71122, 'gamma': 2e-05, 'delta': -0.49229}",34834.99,31750224004,"[[0.222, 0.4], [0.034, 1.0], [0.03, 2.0], [0.001, 5.0], [0.0005, 0.1]]",64.79,0.222,0.4,0.3395,1.0,"[[0.3395, 1.0], [0.4525, 1.0], [0.4795, 0.5], [0.607, 0.1], [0.654, 0.1], [0.976, 0.1], [1.198, 0.1], [2.158, 0.5]]",119.45,P
1,34858.88,BTC-18JUN21,1623243720327,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.28,0.0,0.261,0.331,0.28871205,146.77,,0.0,BTC-18JUN21-25000-C,34834.99,"{'vega': 6.25919, 'theta': -52.25506, 'rho': 5.48361, 'gamma': 1e-05, 'delta': 0.94219}",34834.99,31750221410,"[[0.1585, 2.5]]",0.0,0.1585,2.5,0.389,2.5,"[[0.389, 2.5]]",423.61,C
2,34852.1,BTC-25JUN21,1623243720385,"{'volume': 772.4, 'price_change': -46.0526, 'low': 0.02, 'high': 0.052}",open,0.02,2101.2,0.0035,0.066,0.02157415,116.34,0.0205,0.0,BTC-25JUN21-28000-P,34834.99,"{'vega': 17.0901, 'theta': -62.95607, 'rho': -2.62376, 'gamma': 3e-05, 'delta': -0.15252}",34834.99,31750224050,"[[0.0205, 36.4], [0.02, 42.3], [0.0195, 12.4], [0.019, 0.8], [0.0185, 1.1], [0.0175, 14.0], [0.017, 33.0], [0.0155, 1.0], [0.015, 1.1], [0.005, 0.4], [0.004, 1.0], [0.003, 2.0], [0.0005, 0.2]]",114.29,0.0205,36.4,0.022,14.8,"[[0.022, 14.8], [0.0225, 50.5], [0.023, 13.0], [0.0235, 0.1], [0.024, 3.0], [0.025, 30.0], [0.0265, 1.0], [0.027, 7.5], [0.04, 2.0], [0.0455, 0.7], [0.0495, 1.0], [0.05, 1.0], [0.0525, 2.0], [0.054, 2.0], [0.0575, 2.1], [0.0605, 2.0], [0.063, 2.0], [0.0675, 2.0], [0.0695, 5.0], [0.07, 1.0]]",117.36,P
3,34852.1,BTC-25JUN21,1623243720331,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.99,46.0,0.8955,1.024,0.95282136,130.98,0.7395,0.0,BTC-25JUN21-68000-P,34834.99,"{'vega': 1.97315, 'theta': -8.18355, 'rho': -29.27621, 'gamma': 0.0, 'delta': -0.98976}",34834.99,31749955729,[],0.0,0.0,0.0,0.0,0.0,[],0.0,P
4,36151.19,BTC-31DEC21,1623243720384,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.58,386.3,0.462,0.6955,0.56041255,96.91,0.5395,0.0,BTC-31DEC21-50000-P,34834.99,"{'vega': 107.65036, 'theta': -25.47124, 'rho': -221.88893, 'gamma': 2e-05, 'delta': -0.5334}",34834.99,31750224049,"[[0.1035, 0.5], [0.0015, 1.0], [0.001, 5.0], [0.0005, 0.1]]",0.0,0.1035,0.5,0.8,1.0,"[[0.8, 1.0], [0.802, 20.0]]",179.42,P
5,36154.62,BTC-31DEC21,1623243720328,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.54,443.6,0.42,0.6495,0.51706923,96.9,0.5995,0.0,BTC-31DEC21-48000-P,34834.99,"{'vega': 107.99835, 'theta': -25.54965, 'rho': -208.5517, 'gamma': 2e-05, 'delta': -0.51099}",34834.99,31679026705,"[[0.0015, 1.0], [0.001, 5.0], [0.0005, 0.1]]",0.0,0.0015,1.0,1.5,1.0,"[[1.5, 1.0]]",500.0,P
6,34852.1,BTC-25JUN21,1623243720326,"{'volume': 1.8, 'price_change': -50.0, 'low': 0.001, 'high': 0.002}",open,0.0,1007.2,0.0001,0.0155,0.00096799,192.23,0.001,0.0,BTC-25JUN21-14000-P,34834.99,"{'vega': 1.33212, 'theta': -8.10866, 'rho': -0.11331, 'gamma': 0.0, 'delta': -0.00655}",34834.99,31750196179,"[[0.0005, 94.0]]",177.23,0.0005,94.0,0.0015,32.0,"[[0.0015, 32.0], [0.002, 49.1], [0.005, 1.0], [0.006, 7.5], [0.01, 0.1], [0.017, 0.4], [0.0175, 2.0], [0.021, 0.4], [0.022, 2.0], [0.026, 2.0], [0.032, 0.5], [0.06, 0.5], [0.076, 0.5], [0.13, 0.3], [0.148, 0.5], [0.155, 0.2], [0.2, 0.2], [0.4, 1.0], [0.5965, 10.0]]",204.23,P
7,34858.88,BTC-18JUN21,1623243720328,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.76,0.0,0.672,0.7805,0.72212495,123.4,,0.0,BTC-18JUN21-60000-P,34834.99,"{'vega': 0.50577, 'theta': -3.55015, 'rho': -14.42539, 'gamma': 0.0, 'delta': -0.99693}",34834.99,31515331791,[],0.0,0.0,0.0,0.0,0.0,[],0.0,P
8,34858.88,BTC-18JUN21,1623243720331,"{'volume': 45.3, 'price_change': 40.0, 'low': 0.002, 'high': 0.0035}",open,0.0,442.4,0.0001,0.0285,0.0032402,104.16,0.0035,0.0,BTC-18JUN21-46000-C,34834.99,"{'vega': 5.67173, 'theta': -33.60474, 'rho': 0.40113, 'gamma': 2e-05, 'delta': 0.05104}",34834.99,31750217530,"[[0.003, 10.6], [0.0025, 45.6], [0.002, 31.7], [0.001, 30.0], [0.0005, 16.2]]",102.53,0.003,10.6,0.0035,24.3,"[[0.0035, 24.3], [0.004, 14.7], [0.0045, 61.6], [0.005, 0.1], [0.006, 30.0], [0.0065, 0.1], [0.007, 0.1], [0.0095, 6.0], [0.0155, 0.4], [0.019, 0.2]]",105.61,C
9,34848.67,BTC-25JUN21,1623243720480,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.16,0.0,0.128,0.2255,0.17079844,108.81,,0.0,BTC-25JUN21-30000-C,34834.99,"{'vega': 21.41291, 'theta': -73.77846, 'rho': 9.19427, 'gamma': 4e-05, 'delta': 0.78087}",34834.99,31750224139,"[[0.169, 2.1], [0.1555, 6.0], [0.153, 0.1], [0.152, 0.4], [0.0705, 2.5]]",105.53,0.169,2.1,0.1735,2.1,"[[0.1735, 2.1], [0.1745, 6.0], [0.271, 2.5], [0.4425, 0.1]]",112.84,C
