,underlying_price,underlying_index,timestamp,stats,state,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,instrument_name,index_price,greeks,estimated_delivery_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv,settlement_price,option_type
0,36904.85,SYN.BTC-2JUL21,1623313079928,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.0,0.01,0.0855,0.03712098,86.03,,0.0,BTC-2JUL21-42000-C,36858.38,"{'vega': 31.77897, 'theta': -62.17159, 'rho': 5.98013, 'gamma': 5e-05, 'delta': 0.30611}",36858.38,31781512917,"[[0.0355, 6.4], [0.0275, 0.4]]",84.15,0.0355,6.4,0.0385,6.4,"[[0.0385, 6.4]]",87.63,,C
1,37556.0,BTC-24SEP21,1623313077916,"{'volume': 2.2, 'price_change': -18.6777, 'low': 0.246, 'high': 0.303}",open,563.7,0.1695,0.3375,0.24000973,93.73,0.246,0.0,BTC-24SEP21-40000-P,36858.63,"{'vega': 80.08093, 'theta': -35.40852, 'rho': -75.15493, 'gamma': 2e-05, 'delta': -0.44919}",36858.63,31781513579,"[[0.2385, 0.6], [0.238, 0.6], [0.236, 0.3], [0.1775, 0.4], [0.034, 1.0], [0.03, 2.0], [0.001, 5.0], [0.0005, 0.1]]",93.04,0.2385,0.6,0.2435,0.3,"[[0.2435, 0.3], [0.246, 0.5], [0.2465, 0.5], [0.32, 1.0], [0.4265, 1.0], [0.4795, 0.5], [0.572, 0.1], [0.6165, 0.1], [0.9205, 0.1], [1.1285, 0.1], [2.158, 0.5]]",95.39,0.24,P
2,36840.51,BTC-18JUN21,1623313077912,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.0,0.3005,0.357,0.32359032,142.37,,0.0,BTC-18JUN21-25000-C,36858.63,"{'vega': 3.27184, 'theta': -29.15951, 'rho': 5.24485, 'gamma': 1e-05, 'delta': 0.97419}",36858.63,31781512244,"[[0.1835, 2.5]]",0.0,0.1835,2.5,0.424,2.5,"[[0.424, 2.5]]",476.11,0.33,C
3,36872.47,BTC-25JUN21,1623313079930,"{'volume': 240.1, 'price_change': -59.1837, 'low': 0.01, 'high': 0.025}",open,2139.6,0.0001,0.0445,0.0108121,112.15,0.01,0.0,BTC-25JUN21-28000-P,36858.38,"{'vega': 12.39396, 'theta': -46.37343, 'rho': -1.56595, 'gamma': 2e-05, 'delta': -0.09262}",36858.38,31781514011,"[[0.01, 16.1], [0.0095, 15.0], [0.0085, 16.0], [0.007, 30.0], [0.0045, 7.5], [0.003, 2.0], [0.0015, 0.4], [0.0005, 0.2]]",109.7,0.01,16.1,0.0115,35.2,"[[0.0115, 35.2], [0.012, 14.4], [0.0135, 16.0], [0.014, 30.0], [0.028, 0.2], [0.031, 0.7], [0.04, 2.0], [0.041, 0.1], [0.0495, 1.0], [0.05, 3.0], [0.0525, 2.0], [0.054, 2.0], [0.0575, 2.0], [0.0605, 2.0], [0.063, 2.0], [0.0675, 2.0], [0.0695, 5.0], [0.07, 1.0], [0.0875, 5.0], [0.09, 13.0]]",114.18,0.01,P
4,36872.67,BTC-25JUN21,1623313077916,"{'volume': 2.2, 'price_change': -0.0532, 'low': 0.9395, 'high': 0.94}",open,46.9,0.7905,0.9125,0.84511402,125.5,0.9395,0.0,BTC-25JUN21-68000-P,36858.63,"{'vega': 2.21833, 'theta': -9.28784, 'rho': -27.76439, 'gamma': 0.0, 'delta': -0.98868}",36858.63,31781513648,"[[0.8405, 0.3]]",0.0,0.8405,0.3,0.848,0.3,"[[0.848, 0.3]]",153.13,0.84,P
5,38300.11,BTC-31DEC21,1623313079926,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,386.3,0.3995,0.6245,0.49431264,95.18,0.5395,0.0,BTC-31DEC21-50000-P,36858.38,"{'vega': 114.20577, 'theta': -26.64353, 'rho': -214.4467, 'gamma': 1e-05, 'delta': -0.50753}",36858.38,31772395331,"[[0.1035, 0.5], [0.0015, 1.0], [0.001, 5.0], [0.0005, 0.1]]",0.0,0.1035,0.5,0.8,1.0,"[[0.8, 1.0]]",204.17,0.49,P
6,38300.11,BTC-31DEC21,1623313079927,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,443.6,0.3615,0.582,0.45453771,95.12,0.5995,0.0,BTC-31DEC21-48000-P,36858.38,"{'vega': 114.14322, 'theta': -26.61369, 'rho': -201.06734, 'gamma': 1e-05, 'delta': -0.4848}",36858.38,31765393022,"[[0.0015, 1.0], [0.001, 5.0], [0.0005, 0.1]]",0.0,0.0015,1.0,1.5,1.0,"[[1.5, 1.0]]",500.0,0.45,P
7,36872.67,BTC-25JUN21,1623313077912,"{'volume': 0.4, 'price_change': -50.0, 'low': 0.0005, 'high': 0.001}",open,1007.2,0.0001,0.0155,0.00071382,200.85,0.0005,0.0,BTC-25JUN21-14000-P,36858.63,"{'vega': 1.06082, 'theta': -7.10813, 'rho': -0.08497, 'gamma': 0.0, 'delta': -0.0049}",36858.63,31781475283,"[[0.0005, 46.6]]",192.49,0.0005,46.6,0.001,15.1,"[[0.001, 15.1], [0.0015, 3.0], [0.005, 1.0], [0.006, 7.5], [0.0085, 19.0], [0.01, 0.1], [0.0165, 2.0], [0.017, 0.4], [0.0205, 2.0], [0.021, 0.4], [0.0245, 2.0], [0.032, 0.5], [0.06, 0.5], [0.076, 0.5], [0.13, 0.3], [0.148, 0.5], [0.155, 0.2], [0.2, 0.2], [0.4, 1.0], [0.5965, 10.0]]",209.68,0.0,P
8,36840.51,BTC-18JUN21,1623313077915,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.0,0.5815,0.6925,0.62954811,141.7,,0.0,BTC-18JUN21-60000-P,36858.63,"{'vega': 1.84168, 'theta': -16.33629, 'rho': -13.03145, 'gamma': 0.0, 'delta': -0.98686}",36858.63,31515331791,[],0.0,0.0,0.0,0.0,0.0,[],0.0,0.62,P
9,36840.32,BTC-18JUN21,1623313079931,"{'volume': 35.9, 'price_change': 66.6667, 'low': 0.003, 'high': 0.0065}",open,447.4,0.0001,0.032,0.00447991,98.36,0.005,0.0,BTC-18JUN21-46000-C,36858.38,"{'vega': 7.56176, 'theta': -46.55707, 'rho': 0.55291, 'gamma': 3e-05, 'delta': 0.07306}",36858.38,31781512365,"[[0.004, 14.2], [0.0035, 15.1], [0.003, 98.7], [0.002, 30.0], [0.0005, 18.0]]",95.95,0.004,14.2,0.005,15.3,"[[0.005, 15.3], [0.0055, 30.1], [0.006, 2.7], [0.007, 30.1], [0.0105, 6.0], [0.019, 0.2], [0.021, 0.4]]",100.82,0.0,C
